model,rmse_overall,r2_overall,mae_overall,mape_overall
Lag-1 Baseline,23.18693713717574,-0.533430899186581,18.073005565862708,9.585440977970986
Ridge,18.674091447005875,-0.01064220711631858,14.849178382369049,7.82403711681013
LightGBM-limited_withstorm,17.933409401176526,0.08271737512446198,14.508220584468285,7.675568911557505
LightGBM-tuned_withoutstorm,17.524871823032864,0.1240342182479075,14.0732276476164,7.4497743841513895
