OBJECTID,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,county
1190292,74376,449855,IOWA,19,2013,May,Thunderstorm Wind,C,43,CLAYTON,ARX,30-05-2013 16:41,CST-6,30-05-2013 16:41,0,0,0,0,0.00K,,Fire Department/Rescue,52,EG,,,,,,,,,,3,N,OSTERDOCK,3,N,OSTERDOCK,42.82,-91.17,42.82,-91.17,"For the second straight day, thunderstorms developed during the afternoon across northeast Iowa. Some of these storms produced severe wind gusts with a 60 mph gust occurring southeast of Garnavillo (Clayton County).",An estimated wind gust of 60 mph occurred southeast of Garnavillo.,CSV,clayton
1205829,75276,455094,IOWA,19,2013,July,Thunderstorm Wind,C,75,GRUNDY,DMX,22-07-2013 17:22,CST-6,22-07-2013 17:22,0,0,0,0,25.00K,,Public,61,EG,,,,,,,,,,1,NE,DIKE,1,NE,DIKE,42.48,-92.61,42.48,-92.61,"A cold front moved into Iowa during the afternoon from the northwest.  The airmass became very unstable ahead of the front.  Temperatures rose into the upper 80s to low 90s, with dewpoint readings in the upper 60s to lower 70s.  CAPE increased to 4000 J/kg by late afternoon with a lifted index between -10 and -18 C.  Downdraft CAPE was between 1200 and 1700 J/kg, with CAPE in the -10 to -30 C layer of the atmosphere in the 700 to 900 J/kg range.  The freezing level was very high, around 15,000 feet, with the LCL at 1250 meters.  Deep moisture was available for the system, with precipitable water values around 1.6 inches.  Little shear was available with only 20 kts of effective shear.  A line of thunderstorms formed along the cold front during the afternoon and tracked southeast into Iowa.  Several of the storms produced hail from the size of quarters to the size of golf balls.  Funnel clouds were also reported with a few of the storms.  As the thunderstorms continued into the later afternoon and evening, wind became a more dominant factor.  Numerous trees were downed by high winds in Wright and Franklin Counties.  The storms developed southwest with a line of significant thunderstorms extending from northeast into central Iowa by early to mid evening as new storms formed on the outflow boundary of the original development.  The storms continued to produce quarter to golf ball size hail and wind gusts of 60 to 70 MPH.  The winds caused spotty building damage, including a barn near Story City.  Six horses that were inside were killed.  The barn was east of Boone, where buildings and power lines were destroyed at the Central Iowa Expo grounds.  Two inch diameter hail was reported in parts of Wright and Boone Counties.  A heat burst produced 73 MPH winds in Marion County at the Knoxville Airport.  The temperature rose from 70 to 84 in 15 minutes, and the dewpoint dropped from 63 to 48 in 10 minutes.","Four to six 30 foot high trees, 12 inches in diameter, were downed.  Dime size hail also fell.",CSV,grundy
1205857,75276,454848,IOWA,19,2013,July,Thunderstorm Wind,C,169,STORY,DMX,22-07-2013 19:03,CST-6,22-07-2013 19:03,0,0,0,0,5.00K,,Mesonet,53,MG,,,,,,,,,,3,ENE,AMES,3,ENE,AMES,42.04,-93.57,42.04,-93.57,"A cold front moved into Iowa during the afternoon from the northwest.  The airmass became very unstable ahead of the front.  Temperatures rose into the upper 80s to low 90s, with dewpoint readings in the upper 60s to lower 70s.  CAPE increased to 4000 J/kg by late afternoon with a lifted index between -10 and -18 C.  Downdraft CAPE was between 1200 and 1700 J/kg, with CAPE in the -10 to -30 C layer of the atmosphere in the 700 to 900 J/kg range.  The freezing level was very high, around 15,000 feet, with the LCL at 1250 meters.  Deep moisture was available for the system, with precipitable water values around 1.6 inches.  Little shear was available with only 20 kts of effective shear.  A line of thunderstorms formed along the cold front during the afternoon and tracked southeast into Iowa.  Several of the storms produced hail from the size of quarters to the size of golf balls.  Funnel clouds were also reported with a few of the storms.  As the thunderstorms continued into the later afternoon and evening, wind became a more dominant factor.  Numerous trees were downed by high winds in Wright and Franklin Counties.  The storms developed southwest with a line of significant thunderstorms extending from northeast into central Iowa by early to mid evening as new storms formed on the outflow boundary of the original development.  The storms continued to produce quarter to golf ball size hail and wind gusts of 60 to 70 MPH.  The winds caused spotty building damage, including a barn near Story City.  Six horses that were inside were killed.  The barn was east of Boone, where buildings and power lines were destroyed at the Central Iowa Expo grounds.  Two inch diameter hail was reported in parts of Wright and Boone Counties.  A heat burst produced 73 MPH winds in Marion County at the Knoxville Airport.  The temperature rose from 70 to 84 in 15 minutes, and the dewpoint dropped from 63 to 48 in 10 minutes.",,CSV,story
1205988,73897,447284,IOWA,19,2013,May,Thunderstorm Wind,C,113,LINN,DVN,19-05-2013 22:12,CST-6,19-05-2013 22:12,0,0,0,0,0.00K,,Trained Spotter,66,MG,,,,,,,,,,3,NNW,PARIS,3,NNW,PARIS,42.27,-91.6,42.27,-91.6,"A very unstable airmass on May 19, 2013 led to the development of severe thunderstorms that produced large hail and damaging winds. Temperatures were in the 80s with dewpoints around 70 with a mid level speed maximum rotating around the base of a developing upper low in the Plains states. This increased the deep layer shear during the afternoon and evening hours.  Some of the storms produced golf to baseball size hail and 70 to 80 mph winds.  A trained spotter reported baseball size hail knocked out sky lights at the Walmart store in northeast Keokuk. Golfball to baseball size hail was reported on the north end of the city, with nickel to quarter size hail on the south end of the city.  A downburst produced wind damage in Benton county from the county line 3.5 miles southeast of Blairstown to 2.8 miles southeast of Shellsburg. There was a mile wide swath of near continuous damage to farm outbuildings, tree branches and some power poles. The greatest damage was from 3 miles south of Newhall, where a machine shed and garage were completely destroyed, to about 3 miles northwest of Atkins, where significant damage occurred to outbuildings.  The emergency manager in Buchanan county reported a downburst with winds more than 70 mph struck Independence, Iowa. The northwest side of town sustained the most damage with trees down, power poles snapped and signs blown down.",A trained spotter measured 76 mph winds from an anemometer before the equipment broke. Large trees were blown down.,CSV,linn
1206024,73914,454665,IOWA,19,2013,May,Thunderstorm Wind,C,139,MUSCATINE,DVN,30-05-2013 15:35,CST-6,30-05-2013 15:35,0,0,0,0,0.00K,,Trained Spotter,65,EG,,,,,,,,,,4,NNW,MUSCATINE,4,NNW,MUSCATINE,41.48,-91.07,41.48,-91.07,"A cold front pushing into a very moist and unstable airmass triggered numerous severe thunderstorms on May 30, 2013.  Deep layer shear was moderate to strong and freezing levels were in the 11-12k foot level, which was ideal for large hail. The storms produced damaging winds, large hail and several weak tornadoes.  An EF1 tornado touched down in Andalusia, IL around 445 pm CDT and traveled due north. This weak tornado crossed the Mississippi River and moved through eastern sections of Buffalo, IA. Wind speeds were estimated to be 95 mph. Some large trees were snapped and uprooted along the path. Some of the fallen trees fell onto houses.  In extreme northeast Missouri, wind gusts estimated to be 70 mph produced heavy tree damage throughout Scotland County. Several outbuildings were damaged and about 30 power poles were snapped. The tree damage was mainly located between Bible Grove and Memphis.",A trained spotter estimated winds of 65 to 75 mph.,CSV,muscatine
1206025,73914,454666,IOWA,19,2013,May,Thunderstorm Wind,C,45,CLINTON,DVN,30-05-2013 16:16,CST-6,30-05-2013 16:16,0,0,0,0,0.00K,,Trained Spotter,56,EG,,,,,,,,,,1,SE,CHARLOTTE,1,SE,CHARLOTTE,41.96,-90.47,41.96,-90.47,"A cold front pushing into a very moist and unstable airmass triggered numerous severe thunderstorms on May 30, 2013.  Deep layer shear was moderate to strong and freezing levels were in the 11-12k foot level, which was ideal for large hail. The storms produced damaging winds, large hail and several weak tornadoes.  An EF1 tornado touched down in Andalusia, IL around 445 pm CDT and traveled due north. This weak tornado crossed the Mississippi River and moved through eastern sections of Buffalo, IA. Wind speeds were estimated to be 95 mph. Some large trees were snapped and uprooted along the path. Some of the fallen trees fell onto houses.  In extreme northeast Missouri, wind gusts estimated to be 70 mph produced heavy tree damage throughout Scotland County. Several outbuildings were damaged and about 30 power poles were snapped. The tree damage was mainly located between Bible Grove and Memphis.",A trained spotter measured 65 mph winds.,CSV,clinton
1206078,73751,446211,IOWA,19,2013,June,Thunderstorm Wind,C,77,GUTHRIE,DMX,14-06-2013 21:45,CST-6,14-06-2013 21:45,0,0,0,0,5.00K,,Trained Spotter,52,EG,,,,,,,,,,1,N,STUART,1,N,STUART,41.51,-94.32,41.51,-94.32,"A low pressure area tracked east out of South Dakota during the afternoon and evening.  A warm front extending from the low across west central into southeast Iowa lifted north with thunderstorm development during the afternoon.  Thunderstorms formed during the late afternoon and overnight hours as the cold front trailing form the low moved into Iowa  The atmosphere became moderately unstable during the afternoon and evening as moisture continued to pool near the warm front and ahead of the low.  Precipitable water values increased to 1.8 inches by evening.  The CAPE increased to 2000 to 3000 J/kg with 600 to 900 J/kg available in the -10 to -30 C layer of the atmosphere, though the freezing level was quite high at 15,000 feet.  Downdraft CAPE was in the 800 to 1000 J/kg range.  The atmosphere had 40 to 50 kts of shear available. Thunderstorms moved into western Iowa and became severe.  Initially the storms produced hail.  Most of the hail was in the 1 to 1.5 inch range, with a few locations approaching 2 inch diameter hail.  Upscale development took place with the storms developing into an MCC before midnight.  The storms then became producers of high high winds and heavy rainfall.  A 67 MPH wind gust was recorded in the Carroll area.  One storm west of Pocahontas produced a 2 mile long narrow path of damage as microburst winds estimated around 90 MPH damaged several houses.  Roofing was lost with debris embedded in exterior walls.  Farm equipment was also blown over.  Flash flooding took place in west central Iowa and parts of central Iowa as reports of 3 to 7 inches of rain in some locations produced flash flooding.  Many highways were closed by high water, and countless county roads were flooded in Carroll, Guthrie, Greene, and Madison Counties.  Subsequent flooding in Madison County caused considerable damage with several bridges washed out or underwater northwest of Bevington.",Several 6 to 8 inch tree limbs blown down.,CSV,guthrie
1206108,75276,455096,IOWA,19,2013,July,Thunderstorm Wind,C,121,MADISON,DMX,22-07-2013 20:56,CST-6,22-07-2013 20:56,0,0,0,0,2.00K,,Trained Spotter,52,EG,,,,,,,,,,3,WNW,BEVINGTON,3,WNW,BEVINGTON,41.39,-93.86,41.39,-93.86,"A cold front moved into Iowa during the afternoon from the northwest.  The airmass became very unstable ahead of the front.  Temperatures rose into the upper 80s to low 90s, with dewpoint readings in the upper 60s to lower 70s.  CAPE increased to 4000 J/kg by late afternoon with a lifted index between -10 and -18 C.  Downdraft CAPE was between 1200 and 1700 J/kg, with CAPE in the -10 to -30 C layer of the atmosphere in the 700 to 900 J/kg range.  The freezing level was very high, around 15,000 feet, with the LCL at 1250 meters.  Deep moisture was available for the system, with precipitable water values around 1.6 inches.  Little shear was available with only 20 kts of effective shear.  A line of thunderstorms formed along the cold front during the afternoon and tracked southeast into Iowa.  Several of the storms produced hail from the size of quarters to the size of golf balls.  Funnel clouds were also reported with a few of the storms.  As the thunderstorms continued into the later afternoon and evening, wind became a more dominant factor.  Numerous trees were downed by high winds in Wright and Franklin Counties.  The storms developed southwest with a line of significant thunderstorms extending from northeast into central Iowa by early to mid evening as new storms formed on the outflow boundary of the original development.  The storms continued to produce quarter to golf ball size hail and wind gusts of 60 to 70 MPH.  The winds caused spotty building damage, including a barn near Story City.  Six horses that were inside were killed.  The barn was east of Boone, where buildings and power lines were destroyed at the Central Iowa Expo grounds.  Two inch diameter hail was reported in parts of Wright and Boone Counties.  A heat burst produced 73 MPH winds in Marion County at the Knoxville Airport.  The temperature rose from 70 to 84 in 15 minutes, and the dewpoint dropped from 63 to 48 in 10 minutes.",Six inch diameter tree branch down across the road.,CSV,madison
1206115,73751,446205,IOWA,19,2013,June,Thunderstorm Wind,C,27,CARROLL,DMX,14-06-2013 20:21,CST-6,14-06-2013 20:21,0,0,0,0,0.00K,,Mesonet,50,MG,,,,,,,,,,1,NW,CARROLL,1,NW,CARROLL,42.08,-94.9,42.08,-94.9,"A low pressure area tracked east out of South Dakota during the afternoon and evening.  A warm front extending from the low across west central into southeast Iowa lifted north with thunderstorm development during the afternoon.  Thunderstorms formed during the late afternoon and overnight hours as the cold front trailing form the low moved into Iowa  The atmosphere became moderately unstable during the afternoon and evening as moisture continued to pool near the warm front and ahead of the low.  Precipitable water values increased to 1.8 inches by evening.  The CAPE increased to 2000 to 3000 J/kg with 600 to 900 J/kg available in the -10 to -30 C layer of the atmosphere, though the freezing level was quite high at 15,000 feet.  Downdraft CAPE was in the 800 to 1000 J/kg range.  The atmosphere had 40 to 50 kts of shear available. Thunderstorms moved into western Iowa and became severe.  Initially the storms produced hail.  Most of the hail was in the 1 to 1.5 inch range, with a few locations approaching 2 inch diameter hail.  Upscale development took place with the storms developing into an MCC before midnight.  The storms then became producers of high high winds and heavy rainfall.  A 67 MPH wind gust was recorded in the Carroll area.  One storm west of Pocahontas produced a 2 mile long narrow path of damage as microburst winds estimated around 90 MPH damaged several houses.  Roofing was lost with debris embedded in exterior walls.  Farm equipment was also blown over.  Flash flooding took place in west central Iowa and parts of central Iowa as reports of 3 to 7 inches of rain in some locations produced flash flooding.  Many highways were closed by high water, and countless county roads were flooded in Carroll, Guthrie, Greene, and Madison Counties.  Subsequent flooding in Madison County caused considerable damage with several bridges washed out or underwater northwest of Bevington.",,CSV,carroll
1206118,74058,448049,IOWA,19,2013,June,Thunderstorm Wind,C,153,POLK,DMX,24-06-2013 11:05,CST-6,24-06-2013 11:05,0,0,0,0,10.00K,,NWS Employee,56,EG,,,,,,,,,,0,SSE,POLK CITY,0,SSE,POLK CITY,41.7663,-93.7174,41.7663,-93.7174,"An unstable airmass was in place over Iowa with CAPE over 2000 J/kg already by early in the morning.  Downdraft CAPE was quite high, in the 1000 to 1300 J/kg range, with 400 to 600 J/kg in the -10 to -30 C layer of the atmosphere.  The shear was quite weak, in the 25 to 35 kt range.  Deep moisture was in place with precipitable water values of 1.8 inches.  The LCL was quite low as well, in the 500 to 750 meter range.  There was little hail as the freezing level was quite high at 14,400 feet.  Strong thunderstorms developed in a north to south line across eastern Nebraska and western Iowa.  During the morning the line took on a bow echo appearance as bow beta elements began to push rapidly east.  A swath of 60 to 70 MPH winds took place from east of the Omaha-Council Bulffs area in southwest Iowa all the way east into central Iowa in the Marshalltown and Oskaloosa areas.  The high winds overturned semi-tractortrailer trucks in Guthrie and Greene Counties.  Shingles were also blown from a house in Guthrie Count west of Guthrie Center.  In Audubon County, high winds lifted two farm buildings off of their post foundations and carried them one quarter of a mile away.  A funnel cloud was observed west of Eldora in Hardin County.  Very heavy rainfall occurred over parts of northeast Iowa.  Franklin, Butler, and Grundy Counties were hard hit.  Numerous roads and highways were under water and closed as 4 to over 7 inches of rain fell in under six hours.  The heaviest rainfall total was in the Aplington Area in Butler County.  A total of 7.5 inches fell there.  Severe flooding took place in the New Hartford area.  Near record high river stages prompted the evacuation of the town.  In Parkersburg, 1500 to 2000 feet of railroad tracks were washed out.  There was some hail with the storms.  Most of them had small hail, though no significant hail was reported.",Off duty NWS employee reports 4 inch tree limbs down in town.,CSV,polk
1206365,76563,461851,IOWA,19,2013,June,Thunderstorm Wind,C,11,BENTON,DVN,21-06-2013 08:08,CST-6,21-06-2013 08:08,0,0,0,0,0.00K,,Emergency Manager,56,EG,,,,,,,,,,1,W,URBANA,1,W,URBANA,42.22,-91.88,42.22,-91.88,"A thunderstorm complex developed ahead of a storm system developing in the northern plains.  The complex moved southeastward into eastern Iowa after daybreak on the 21st producing heavy rainfall, up to golf ball sized hail, and strong gusty winds north of a line from Cedar Rapids to Dubuque.",The Emergency Manager reported winds of 60 to 65 mph winds with damage to small trees and limbs were down.,CSV,benton
1206366,76563,461852,IOWA,19,2013,June,Thunderstorm Wind,C,19,BUCHANAN,DVN,21-06-2013 08:13,CST-6,21-06-2013 08:13,0,0,0,0,0.00K,,Trained Spotter,50,EG,,,,,,,,,,1,NW,QUASQUETON,1,NW,QUASQUETON,42.41,-91.77,42.41,-91.77,"A thunderstorm complex developed ahead of a storm system developing in the northern plains.  The complex moved southeastward into eastern Iowa after daybreak on the 21st producing heavy rainfall, up to golf ball sized hail, and strong gusty winds north of a line from Cedar Rapids to Dubuque.",A trained spotter reported tree limbs of 2 to 5 inches were down and estimated the wind speed to be around 55 mph.,CSV,buchanan
1206367,76563,461853,IOWA,19,2013,June,Thunderstorm Wind,C,113,LINN,DVN,21-06-2013 08:37,CST-6,21-06-2013 08:37,0,0,0,0,0.00K,,Broadcast Media,52,EG,,,,,,,,,,0,N,ALBURNETT,0,N,ALBURNETT,42.15,-91.62,42.15,-91.62,"A thunderstorm complex developed ahead of a storm system developing in the northern plains.  The complex moved southeastward into eastern Iowa after daybreak on the 21st producing heavy rainfall, up to golf ball sized hail, and strong gusty winds north of a line from Cedar Rapids to Dubuque.",Local broadcast media estimated wind speeds of 55 to 60 mph.,CSV,linn
1206368,76563,461855,IOWA,19,2013,June,Thunderstorm Wind,C,31,CEDAR,DVN,21-06-2013 09:45,CST-6,21-06-2013 09:45,0,0,0,0,0.00K,,Trained Spotter,52,EG,,,,,,,,,,1,S,STANWOOD,1,S,STANWOOD,41.89,-91.15,41.89,-91.15,"A thunderstorm complex developed ahead of a storm system developing in the northern plains.  The complex moved southeastward into eastern Iowa after daybreak on the 21st producing heavy rainfall, up to golf ball sized hail, and strong gusty winds north of a line from Cedar Rapids to Dubuque.",A trained spotter estimated thunderstorm wind gusts of 60 mph.,CSV,cedar
1206369,76563,461858,IOWA,19,2013,June,Thunderstorm Wind,C,19,BUCHANAN,DVN,21-06-2013 08:06,CST-6,21-06-2013 08:06,0,0,0,0,0.00K,,Emergency Manager,52,EG,,,,,,,,,,1,W,QUASQUETON,1,W,QUASQUETON,42.4,-91.76,42.4,-91.76,"A thunderstorm complex developed ahead of a storm system developing in the northern plains.  The complex moved southeastward into eastern Iowa after daybreak on the 21st producing heavy rainfall, up to golf ball sized hail, and strong gusty winds north of a line from Cedar Rapids to Dubuque.",The Emergency Manager estimated wind speeds of 50 to 60 mph.,CSV,buchanan
1206426,76177,459432,IOWA,19,2013,August,Thunderstorm Wind,C,69,FRANKLIN,DMX,11-08-2013 16:26,CST-6,11-08-2013 16:26,0,0,0,0,3.00K,,Emergency Manager,56,EG,,,,,,,,,,1,NW,HAMPTON MUNI ARPT,1,NW,HAMPTON MUNI ARPT,42.74,-93.24,42.74,-93.24,"A cold front moved slowly south into Iowa during the afternoon and evening of the 11th.  Highs reached the mid 80s with dewpoint temperatures in the 60s on the 11th.  A line of thunderstorms developed along the frontal boundary and spread east-southeast across central Iowa.  CAPE was 1000-2000 J/kg with downdraft CAPE around 900 J/kg.  Available shear was in the 25 to 35 kt range.  CAPE in the -10 to -30 C layer of the atmosphere was around 400 J/kg.  The freezing level was quite high around 14,500 feet.  The precipitable water was around 1.4 inches.  LCL heights were in the 750 to 1000 meter range.  Scattered severe reports were received with winds of 60 to 65 MPH in parts of north central and northeast Iowa.  A funnel cloud was reported in Kossuth County.  Heavy rainfall of over 2 inches in an hour occurred in Butler County.  Hail was minimal, however there were a few reports of up to one inch diameter hail.",Emergency Manager estimated 60 to 70 MPH winds.  Had to pull over due to the winds.,CSV,franklin
1206427,75795,457710,IOWA,19,2013,August,Thunderstorm Wind,C,63,EMMET,DMX,01-08-2013 15:35,CST-6,01-08-2013 15:35,0,0,0,0,2.00K,,Public,52,EG,,,,,,,,,,4,SSE,ARMSTRONG,4,SSE,ARMSTRONG,43.35,-94.46,43.35,-94.46,"Moisture was drawn into Iowa as a weak ridge of high pressure moved to the east.  The atmosphere was unstable, but not strongly so.  CAPE was around 1500 J/kg at the peak during the afternoon with 700 J/kg of downdraft CAPE, and available CAPE in the -10 to -30 C layer of the atmosphere was around 300 J/kg.  Strong shear was present with around 60 kts of effective shear.  Thunderstorms formed over north west into north central Iowa during the mid and late afternoon hours.  Many of the storms produced nickel to quarter size hail.  One storm in Franklin County caused wind damage south of the Sheffield area.",Tree damage reported by the public.,CSV,emmet
1206428,75795,457711,IOWA,19,2013,August,Thunderstorm Wind,C,75,GRUNDY,DMX,01-08-2013 17:44,CST-6,01-08-2013 17:44,0,0,0,0,2.00K,,Trained Spotter,52,EG,,,,,,,,,,6,NNW,WELLSBURG,6,NNW,WELLSBURG,42.51,-92.96,42.51,-92.96,"Moisture was drawn into Iowa as a weak ridge of high pressure moved to the east.  The atmosphere was unstable, but not strongly so.  CAPE was around 1500 J/kg at the peak during the afternoon with 700 J/kg of downdraft CAPE, and available CAPE in the -10 to -30 C layer of the atmosphere was around 300 J/kg.  Strong shear was present with around 60 kts of effective shear.  Thunderstorms formed over north west into north central Iowa during the mid and late afternoon hours.  Many of the storms produced nickel to quarter size hail.  One storm in Franklin County caused wind damage south of the Sheffield area.",A number of tree branches were down in the yard.  The largest ones were 3 inches in diameter.,CSV,grundy
1206452,75997,459065,IOWA,19,2013,August,Thunderstorm Wind,C,3,ADAMS,DMX,07-08-2013 00:20,CST-6,07-08-2013 00:20,0,0,0,0,10.00K,,Trained Spotter,61,EG,,,,,,,,,,4,NNW,MERCER,4,NNW,MERCER,40.98,-94.6569,40.98,-94.6569,"An unstable airmass was in place over central Iowa ahead of an approaching cold front.  CAPE increased to 2000 to 3000 J/kg with downdraft CAPE around 1200 J/kg.  The available CAPE in the -10 to -30 C layer of the atmosphere was in the 400 to 600 J/kg range.  Though the freezing level was quite high around 15,000 feet, the atmosphere was moderately sheared with 35 to 45 kts of effective shear.  Precipitable water was around 1.6 inches.  During the afternoon, highs reached the low 90s with dewpoint readings around 70.  Thunderstorms developed over central Iowa and dropped hail up to 2.5 inches diameter in Jasper County.  The first round of thunderstorms weakened with sub-severe storms continuing.  During the evening thunderstorms intensified again as the low level jet increased.  The storms produced spotty hail, high winds, and local heavy rainfall.",Two foot diameter tree snapped.  One to 1.5 inch diameter flagpole bent southwest approximately 30 degrees along Highway 34.  Winds estimated at 70 MPH.,CSV,adams
1206612,76563,461854,IOWA,19,2013,June,Thunderstorm Wind,C,113,LINN,DVN,21-06-2013 09:03,CST-6,21-06-2013 09:03,0,0,0,0,0.00K,,Trained Spotter,52,EG,,,,,,,,,,3,SE,CEDAR RAPIDS,3,SE,CEDAR RAPIDS,41.97,-91.61,41.97,-91.61,"A thunderstorm complex developed ahead of a storm system developing in the northern plains.  The complex moved southeastward into eastern Iowa after daybreak on the 21st producing heavy rainfall, up to golf ball sized hail, and strong gusty winds north of a line from Cedar Rapids to Dubuque.",A trained spotter estimated wind gusts over 60 mph with the storms.,CSV,linn
1210289,75276,454882,IOWA,19,2013,July,Thunderstorm Wind,C,153,POLK,DMX,22-07-2013 19:50,CST-6,22-07-2013 19:50,0,0,0,0,5.00K,,Trained Spotter,61,EG,,,,,,,,,,3,NW,ALLEMAN,3,NW,ALLEMAN,41.8499,-93.6601,41.8499,-93.6601,"A cold front moved into Iowa during the afternoon from the northwest.  The airmass became very unstable ahead of the front.  Temperatures rose into the upper 80s to low 90s, with dewpoint readings in the upper 60s to lower 70s.  CAPE increased to 4000 J/kg by late afternoon with a lifted index between -10 and -18 C.  Downdraft CAPE was between 1200 and 1700 J/kg, with CAPE in the -10 to -30 C layer of the atmosphere in the 700 to 900 J/kg range.  The freezing level was very high, around 15,000 feet, with the LCL at 1250 meters.  Deep moisture was available for the system, with precipitable water values around 1.6 inches.  Little shear was available with only 20 kts of effective shear.  A line of thunderstorms formed along the cold front during the afternoon and tracked southeast into Iowa.  Several of the storms produced hail from the size of quarters to the size of golf balls.  Funnel clouds were also reported with a few of the storms.  As the thunderstorms continued into the later afternoon and evening, wind became a more dominant factor.  Numerous trees were downed by high winds in Wright and Franklin Counties.  The storms developed southwest with a line of significant thunderstorms extending from northeast into central Iowa by early to mid evening as new storms formed on the outflow boundary of the original development.  The storms continued to produce quarter to golf ball size hail and wind gusts of 60 to 70 MPH.  The winds caused spotty building damage, including a barn near Story City.  Six horses that were inside were killed.  The barn was east of Boone, where buildings and power lines were destroyed at the Central Iowa Expo grounds.  Two inch diameter hail was reported in parts of Wright and Boone Counties.  A heat burst produced 73 MPH winds in Marion County at the Knoxville Airport.  The temperature rose from 70 to 84 in 15 minutes, and the dewpoint dropped from 63 to 48 in 10 minutes.",Extensive crop damage was reported with stocks flattened.,CSV,polk
1210488,74058,448028,IOWA,19,2013,June,Thunderstorm Wind,C,9,AUDUBON,DMX,24-06-2013 10:00,CST-6,24-06-2013 10:30,0,0,0,0,250.00K,,Trained Spotter,65,EG,,,,,,,,,,2,SSE,SHARON,0,N,AUDUBON,41.6519,-94.9864,41.72,-94.93,"An unstable airmass was in place over Iowa with CAPE over 2000 J/kg already by early in the morning.  Downdraft CAPE was quite high, in the 1000 to 1300 J/kg range, with 400 to 600 J/kg in the -10 to -30 C layer of the atmosphere.  The shear was quite weak, in the 25 to 35 kt range.  Deep moisture was in place with precipitable water values of 1.8 inches.  The LCL was quite low as well, in the 500 to 750 meter range.  There was little hail as the freezing level was quite high at 14,400 feet.  Strong thunderstorms developed in a north to south line across eastern Nebraska and western Iowa.  During the morning the line took on a bow echo appearance as bow beta elements began to push rapidly east.  A swath of 60 to 70 MPH winds took place from east of the Omaha-Council Bulffs area in southwest Iowa all the way east into central Iowa in the Marshalltown and Oskaloosa areas.  The high winds overturned semi-tractortrailer trucks in Guthrie and Greene Counties.  Shingles were also blown from a house in Guthrie Count west of Guthrie Center.  In Audubon County, high winds lifted two farm buildings off of their post foundations and carried them one quarter of a mile away.  A funnel cloud was observed west of Eldora in Hardin County.  Very heavy rainfall occurred over parts of northeast Iowa.  Franklin, Butler, and Grundy Counties were hard hit.  Numerous roads and highways were under water and closed as 4 to over 7 inches of rain fell in under six hours.  The heaviest rainfall total was in the Aplington Area in Butler County.  A total of 7.5 inches fell there.  Severe flooding took place in the New Hartford area.  Near record high river stages prompted the evacuation of the town.  In Parkersburg, 1500 to 2000 feet of railroad tracks were washed out.  There was some hail with the storms.  Most of them had small hail, though no significant hail was reported.","Winds lasted 30 minutes in the Audubon area.  Tree limbs 4 to 5 inches in diameter were down, corn flattened, town totally without electricity.  A farmstead lost 2 buildings southwest of town.",CSV,audubon
